n;nombre;unidad_medida;precio_unitario;saldo_inicial;entradas;salidas;saldo_final
283;CARNE DE POLLO CORRESPONDIENTE AL 2DO SEMESTRE 2024;GLOBAL;240356,4;0;0;0;0
284;CARNE DE POLLO CORRESPONDIENTE AL 2DO SEMESTRE 2025;GLOBAL;178359,1;0;0;0;0
285;CARNE DE POLLO DESPRESADO DICIEMBRE 2024;KG;17,5;1746;0;1746;0
286;CARNE DE RES;KG;60;0;311;311;0
287;CARNE DE RES CORRESPONDIENTE 1ER SEMESTRE 2025;GLOBAL;251910,7;0;0;0;0
288;CARNE DE RES CORRESPONDIENTE AL 1ER SEMESTRE 2024;GLOBAL;222418;0;0;0;0
289;CARNE DE RES CORRESPONDIENTE AL 2 SEMESTRE 2023;GLOBAL;301119,1;0;0;0;0
290;CARNE DE RES CORRESPONDIENTE AL 2DO SEMESTRE 2024;GLOBAL;181306,3;0;0;0;0
291;CARNE DE RES CORRESPONDIENTE AL 2DO SEMESTRE 2025;GLOBAL;457610;0;0;0;0
292;CARNE DE RES DICIEMBRE 2024;KG;37;1687;0;1687;0
293;CARNE MOLIDA;KG;48;0;416;416;0
294;CEBADA;QQ;288,4;14;0;7;7
295;CHUÑO;QQ;693,41;0;12;12;0
296;COLORANTE SIN PICANTE;LIBRA;17,83;31;25;56;0
